# Peroxide (Z 3)
#Atomic weight: A[r] 18.01 
#Nominal density:   rho 1.45
# Z=1	: 0.111898
# Z=8	: 0.888102
#
%   keV            cm2 g-1
2.080733E+00  5.578650E+02
2.224304E+00  4.616770E+02
2.377781E+00  3.811067E+02
2.541848E+00  3.146109E+02
2.717235E+00  2.597435E+02
2.904724E+00  2.144724E+02
3.105150E+00  1.762292E+02
3.319406E+00  1.441483E+02
3.548445E+00  1.179098E+02
3.793288E+00  9.647870E+01
4.055024E+00  7.895385E+01
4.334821E+00  6.462770E+01
4.633924E+00  5.291509E+01
4.953664E+00  4.333903E+01
5.295467E+00  3.550814E+01
5.660855E+00  2.910443E+01
6.051453E+00  2.386731E+01
6.469004E+00  1.958320E+01
6.915365E+00  1.607807E+01
7.392525E+00  1.321078E+01
7.902609E+00  1.086374E+01
8.447890E+00  8.943808E+00
9.030794E+00  7.361325E+00
9.653919E+00  6.037828E+00
1.032004E+01  4.951581E+00
1.103212E+01  4.061093E+00
1.179334E+01  3.338986E+00
1.260708E+01  2.753555E+00
1.347697E+01  2.278927E+00
1.440688E+01  1.893745E+00
1.540095E+01  1.580980E+00
1.646362E+01  1.326991E+00
1.759961E+01  1.120488E+00
1.881398E+01  9.525160E-01
2.011215E+01  8.156691E-01
2.149988E+01  7.040965E-01
2.298338E+01  6.129817E-01
2.456923E+01  5.384495E-01
2.626450E+01  4.773578E-01
2.807676E+01  4.263876E-01
3.001405E+01  3.843431E-01
3.208502E+01  3.497402E-01
3.429889E+01  3.211490E-01
3.666551E+01  2.973948E-01
3.919543E+01  2.775569E-01
4.189992E+01  2.608462E-01
4.479101E+01  2.466901E-01
4.788159E+01  2.345623E-01
5.118542E+01  2.240783E-01
5.471721E+01  2.149302E-01
5.849270E+01  2.068537E-01
6.252870E+01  1.996439E-01
6.684318E+01  1.931243E-01
7.145536E+01  1.871720E-01
7.638578E+01  1.816759E-01
8.165640E+01  1.765532E-01
8.729069E+01  1.717467E-01
9.331374E+01  1.671736E-01
9.975239E+01  1.628264E-01
1.066353E+02  1.586478E-01
1.139931E+02  1.546298E-01
1.218587E+02  1.507271E-01
1.302669E+02  1.469578E-01
1.392553E+02  1.432855E-01
1.488640E+02  1.397115E-01
1.591356E+02  1.362357E-01
1.701159E+02  1.328299E-01
1.818539E+02  1.295147E-01
1.944018E+02  1.262801E-01
2.078156E+02  1.231273E-01
2.221548E+02  1.200462E-01
2.374835E+02  1.170569E-01
2.538699E+02  1.141312E-01
2.713869E+02  1.113067E-01
2.901126E+02  1.085463E-01
3.101304E+02  1.058688E-01
3.315294E+02  1.032866E-01
3.544049E+02  1.007789E-01
3.788588E+02  9.835564E-02
4.050001E+02  9.601689E-02
